0	0	0	0
50	0	0	0
100	0	0	0
150	0	0	0
200	0	0	0
250	0	0	0
270	0	0	0
290	0	0	0
310	0	0	0
330	0	0	0
350	0	0	0
400	132	123	127.5
450	128	106	117
500	169	140	154.5
550	130	112	121
600	145	125	135
650	148	130	139
700	149	131	140
750	148	150	149
800	129	140	134.5
850	115	112	113.5
900	139	125	132
950	134	115	124.5
970	125	136	130.5
990	122	148	135
1010	140	125	132.5
1030	140	136	138
1050	152	157	154.5
1070	149	149	149
1090	134	135	134.5
1110	144	149	146.5
1130	158	134	146
1150	160	146	153
1170	161	146	153.5
1190	146	153	149.5
1210	150	155	152.5
1230	188	177	182.5
1250	183	189	186
1300	269	391	330
