20,5616,5729,5672.5
60,6500,6224,6362.0
100,7731,7784,7757.5
140,10256,10257,10256.5
180,10974,11054,11014.0
220,11114,11317,11215.5
260,11445,11994,11719.5
300,12642,12181,12411.5
340,11841,11970,11905.5
380,11625,11437,11531.0
420,11070,11071,11070.5
460,10370,10695,10532.5
500,10073,10109,10091.0
540,9942,10062,10002.0
580,9220,9865,9542.5
620,9495,9504,9499.5
660,9178,9263,9220.5
700,9308,9162,9235.0
740,9202,9195,9198.5
780,8606,8788,8697.0
820,8502,8698,8600.0
860,8448,8492,8470.0
900,8081,8302,8191.5
940,7546,7632,7589.0
980,6406,6189,6297.5
1020,4634,4853,4743.5
1060,3657,3587,3622.0
1100,2782,2894,2838.0
1140,2720,2728,2724.0
1180,2848,2864,2856.0
1220,3491,3501,3496.0
1260,4701,4470,4585.5
1300,25056,31210,28133.0
1340,43339,39142,41240.5
1380,40571,42408,41489.5
1420,37202,42400,39801.0
1460,10630,8807,9718.5
1500,2327,3387,2857.0
1540,1114,1008,1061.0
1580,1058,881,969.5
1620,796,800,798.0
1660,806,818,812.0
